id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
2739,Малин,Київ,0,Укртрансбезпека,641/642,Прямий та зворотній рейси виконуються Пон.Сер.Пт.Суб.Нед.,один,"М2, М3, В, ІІІ",,,,1+1
2740,Київ,Черкаси,3192466211565507591,Мінінфраструктури,643/644,щоденно,один,"М3, ІІІ",Починаючи з 2001 року,13.02.2017-28.08.2020,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1
2741,Одеса,Чернівці,8674762066320692803,Укртрансбезпека,643/644,щоденно,один,"М3, ІІІ",Починаючи з 1997 року,26.04.2014-25.04.2019,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",2+1
2742,Світловодськ,Кременчук,5368413504699501884,Укртрансбезпека,643/644,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2743,Дубно,Київ,7890913414123989549,Укртрансбезпека,643/644,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,01.02.2012-31.01.2017,"ФОП Пахнюк О.В., адреса: вул.Київська, 18, кв.6, м.Рівне, АГ 587949",1+1
2744,Київ,Черкаси,3208225454595201410,Укртрансбезпека,645/646,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,07.09.2015-06.09.2020,"ФОП Комишна О.Ю., адреса: вул. Маршала Конєва, 9 кв. 129, м.Київ, АЕ 268943 ",1+1
2745,Світловодськ,Кременчук,5368413504699501884,Укртрансбезпека,645/646,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2746,Вознесенськ,Одеса,0,Укртрансбезпека,645/646,щоденно,один,"М3, ІІІ",,,,1+1
2747,Чернігів,Київ,1258839142768682310,Укртрансбезпека,645/646,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1999 року,18.05.2011-17.05.2016,"ФОП Камлаченко А.Г., адреса: вул.Доценка, 8, кв.72, м.Чернігів, АЕ 268418",1+1
2748,Київ,Малин,2396576493438185736,Укртрансбезпека,645/646,щоденно,один,"М2, М3, В, ІІІ",Починаюччи з 1990 року,01.07.2014-30.06.2019,"ТОВ БМУ ""Малинспецбуд - 3"", адреса:вул. Гагаріна, буд. 9, м.Малин, Житомирська область, АВ 560620 ",1+1
2749,Черкаси,Київ,3192466211565507591,Мінінфраструктури,647/648,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,06.12.2016-05.12.2021,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1
2750,Світловодськ,Кременчук,5368413504699501884,Укртрансбезпека,647/648,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2751,Вознесенськ,Одеса,0,Укртрансбезпека,647/648,щоденно,один,"М3, ІІІ",,,,1+1
2752,Дніпропетровськ,Донецьк,5806093921113056198,Укртрансбезпека,647/648,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,19.02.2015-18.02.2020,"ПП ""Автоекспрес-Дніпро"", адреса: площа Металургів, 6, м.Дніпропетровськ, 49009, АГ 587916",1+1
2753,Київ,Черкаси,3192466211565507591,Мінінфраструктури,649/650,щоденно,один,"М3, ІІІ",Починаючи з 2001 року,13.02.2017-28.08.2020,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1
2754,Світловодськ,Кременчук,5368413504699501884,Укртрансбезпека,649/650,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2755,Київ,Малин,840229890283170315,Укртрансбезпека,649/650,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,26.04.2014-25.04.2019,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, АВ 532308",1+1
2756,Дніпропетровськ,Донецьк,0,Укртрансбезпека,649/650,щоденно,один,"М3, ІІІ",,,,1+1
2757,Хмельницький,Рівне,6602510778441558707,Укртрансбезпека,649/650,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,19.02.2015-18.02.2020,"ТОВ ""Штефанік - Арсенюк"", адреса: вул. Грушевського, буд. 72, м.Красилів, Хмельницька область, АЕ 188448",1+1
2758,Рівне,Київ,2188114623002982643,Укртрансбезпека,651/652,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,06.03.2014-05.03.2019,"ТОВ ""Автотранспортна компанія ""Авто-Лайф"", адреса: Харківське шосе, буд. 152, кв. 220, м.Київ, АД 038403",1+1
2759,Миколаїв,Київ ч/з Первомайськ,9107037607426663261,Укртрансбезпека,651/652,щоденно,один,"М3, ІІІ",Починаючи з 1992 року,31.12.2011-30.12.2016,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",2+1
2760,Переяслав,Хмельницький,0,Укртрансбезпека,651/652,"Прямий та зворотній рейси виконуються Суб.Нед.З 01.07 по 31.08-до м. Миронівка, з 01.09 по 30.06-до м. Богуслав",один,"М3, ІІІ",,,,2+1
2761,Львів,Ковель,3200792058701546677,Укртрансбезпека,651/652,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,23.09.2011-22.09.2016,"ПП ""Вест-Авто"", адреса: вул.Хвильового, 56/168, м.Львів, АВ 550847",1+1
2762,Рогатин,Стрий,942512362803021847,Укртрансбезпека,651/652,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,21.04.2011-20.04.2016,"ПрАТ ""Рогатинавто"", адреса: вул.Галицька, буд.108, м.Рогатин, Івано-Франківська область, 77000",1+1
2763,Київ,Малин,840229890283170315,Укртрансбезпека,651/652,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,26.04.2014-25.04.2019,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, АВ 532308",1+1
2764,Ромни,Київ,3319968117907656287,Укртрансбезпека,651/652,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,24.06.2011-23.06.2016,"ТОВ ""СІС"", адреса: проспект Карла Маркса , буд.53, м.Дніпропетровськ, АГ 593941",1+1
2765,Рівне,Київ,2724247505031861703,Укртрансбезпека,653/654,щоденно,один,"М3, ІІІ",Починаючи з 1984 року,18.05.2011-17.05.2016,"ФОП Безкоровайний С.Р., адреса: вул.Дарвіна, 21, м.Рівне, АЕ 266979",1+1
2766,Переяслав,Хмельницький,0,Укртрансбезпека,653/654,"Прямий та зворотній рейси виконуються Суб.Нед.З 01.07 по 31.08-до м. Миронівка, з 01.09 по 30.06-до м. Богуслав",один,"М3, ІІІ",,,,1+1
2767,Львів,Ковель,3200792058701546677,Укртрансбезпека,653/654,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,23.09.2011-22.09.2016,"ПП ""Вест-Авто"", адреса: вул.Хвильового, 56/168, м.Львів, АВ 550847",1+1
2768,Кривий Ріг,Первомайськ,8757919946000165413,Укртрансбезпека,653/654,щоденно,один,"М3, ІІІ",Починаючи з 1984 року,22.04.2013-16.01.2018,"ФОП Владов П.І., адреса: вул.Луначарського, 35, кв.48, м.Первомайськ, Миколаївська область, АЕ 421813",2+1
2769,Київ,Малин,840229890283170315,Укртрансбезпека,653/654,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,26.04.2014-25.04.2019,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, АВ 532308",1+1
2770,Київ,Харків,5600202532597276215,Укртрансбезпека,653/654,щоденно,один,"М3, ІІІ",Починаючи з 2003 року,22.12.2013-21.12.2018,"ПІК ""ААЗ Трейдінг Ко"", адреса: вул.Чистяківська, 30, м.Київ, АЕ 572514",1+1
2771,Бар,Івано,727680207144442825,Укртрансбезпека,653/654,щоденно,один,"М3, ІІІ",Починаючи з 1988 року,08.02.2013-07.02.2018,"ВАТ ""Барське АТП 10513"", адреса: вул.Привокзальна, 2, м.Бар, Вінницька область, АГ 592067",2+1
2772,Кіровоград,Київ,1284177797322816599,Укртрансбезпека,655/656,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,11.06.2013-10.06.2018,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
2773,Рівне,Київ,758965114511857277,Укртрансбезпека,655/656,щоденно,один,"М3, ІІІ",Починаючи з 2001 року,18.05.2011-17.05.2016,"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",1+1
2774,Київ,Чернівці,8674762066320692803,Укртрансбезпека,655/656,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,17.02.2011-16.02.2016,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",2+1
2775,Львів,Ковель,8194370674956005897,Укртрансбезпека,655/656,щоденно,один,"М3, ІІІ",Починаючи з 1989 року,23.09.2011-22.09.2016,"ПрАТ ""Володимир-Волинське АТП 10707"", адреса: вул.Ковельська, 181, м.Володимир-Волинський, Волинська область, АГ 588970",1+1
2776,Золочів,Тернопіль,7208924570181441041,Укртрансбезпека,655/656,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1998 року,25.06.2011-24.06.2016,"ФОП Фуртак О.М., адреса: вул.Львівська,54, с.Плугів, Золочівський район, Львівська область, АЕ 421961 ",1+1
2777,Чернігів,Київ,800065142603832889,Укртрансбезпека,655/656,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2008 року,18.08.2011-17.05.2016,"ПП ""ВЛАДІС"", адреса: вул.Щорса буд.29 кв.6, м.Чернігів, АВ 561396",1+1
2778,Радивилів,Київ,7890913414123989549,Укртрансбезпека,657/658,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,01.02.2012-31.01.2017,"ФОП Пахнюк О.В., адреса: вул.Київська, 18, кв.6, м.Рівне, АГ 587949",1+1
2779,Івано,Франківськ,0,Укртрансбезпека,657/658,щоденно,один,"М3, ІІІ",,,,1+1
2780,Чернівці,Ялта,6207230925260320456,Укртрансбезпека,657/658,в період з 15.06 по 15.09 виконується щоденно,один,"М3, ІІІ",Починаючи з 1994 року,13.12.2011-12.12.2016-паритет,"ФОП Калінін А.М., адреса:вул.Б.Михайлова, 12, кв.3, м.Севастополь, АД 033939",2+1
2781,Золочів,Тернопіль,3753696550283974675,Укртрансбезпека,657/658,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,25.06.2011-24.06.2016,"ТОВ ""ЗолочівАвтоТранс"", адреса: вул. Львівська,54, м.Золочів, Львівська область, АГ 504788",1+1
2782,Кузнецовськ,Київ,4878811135240556686,Укртрансбезпека,657/658,щоденно,один,"М3, ІІІ",Починаючи з 1992 року,28.12.2015-30.06.2019,"ТДВ  ""Кузнецовське АТП-15637"", адреса: м-н Північний промислової зони, 30, м. Кузнецовськ, Рівненська область, AB 610954",1+1
2783,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,657/658,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,21.12.2020-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2784,Черкаси,Київ,3192466211565507591,Мінінфраструктури,659/660,щоденно,один,"М3, ІІІ",Починаючи з 2002 року,11.04.2015-10.04.2020,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1
2785,Рівне,Київ,758965114511857277,Укртрансбезпека,659/660,щоденно,один,"М3, ІІІ",Починаючи з 2001 року,18.05.2011-17.05.2016,"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",1+1
2786,Луцьк,Львів,4098693504290662925,Укртрансбезпека,659/660,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,24.06.2014-24.05.2019,"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",1+1
2787,Донецьк,Свердловськ,0,Укртрансбезпека,659/660,щоденно,один,"М3, ІІІ",,,,1+1
2788,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,659/660,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,21.12.2020-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2789,Київ,Кельменці,3085165176052166530,Укртрансбезпека,659/660,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,22.11.2012-21.11.2017,"ФОП Ярмійчук А.О., адреса: вул. Р. Скалецького, 36-А, кв.105, м.Вінниця, АВ 535524",2+1
2790,Нетішин,Кузнецовськ,8821539072492212669,Укртрансбезпека,661/662,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,29.01.2015-28.01.2020,"ПП ""Острог-Авто"", адреса: вул.Мацути, 4-А, м.Острог, Рівненська область,АЕ 572313 ",1+1
2791,Миколаїв,Залізний Порт,1490155852337163351,Укртрансбезпека,661/662,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,06.06.2015-05.06.2020,"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",1+1
2792,Золочів,Тернопіль,3753696550283974675,Укртрансбезпека,661/662,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2003 року,25.06.2011-24.06.2016,"ТОВ ""ЗолочівАвтоТранс"", адреса: вул. Львівська,54, м.Золочів, Львівська область, АГ 504788",1+1
2793,Шостка,Студинка,3437898039674913393,Укртрансбезпека,661/662,Прямий та зворотній рейси виконуються Сер.Пт.Суб.Нед.,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1987 року,31.12.2015-30.12.2016,"ФОП Зевако О.А., адреса: вул. Кірова, 19-б, кв.69, м.Шостка, Сумська область, АД 038226",1+1
2794,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,661/662,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,21.12.2020-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2795,Київ,Яремча,8200291822662628738,Укртрансбезпека,663/664,щоденно,один,"М3, ІІІ",Починаючи з 1986 року,16.12.2013-15.12.2018,"ТОВ ""Авто-Караван"", адреса: вул.Кіквідзе, буд.30-А, кв.75, м.Київ, АЕ 264756",2+1
2796,Нетішин,Кузнецовськ,0,Укртрансбезпека,663/664,щоденно,один,"М3, ІІІ",,,,1+1
2797,Миколаїв,Залізний Порт,1490155852337163351,Укртрансбезпека,663/664,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,06.06.2015-05.06.2020,"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",1+1
2798,Шостка,Студинка,3437898039674913393,Укртрансбезпека,663/664,Прямий та зворотній рейси виконуються Сер.Пт.Суб.Нед.,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1987 року,31.12.2015-30.12.2016,"ФОП Зевако О.А., адреса: вул. Кірова, 19-б, кв.69, м.Шостка, Сумська область, АД 038226",1+1
2799,Київ,Черкаси,3346700277115714712,Укртрансбезпека,665/666,щоденно,один,"М3, ІІІ",Починаючи з 1997 року,29.08.2015-28.08.2020,"ФОП Стужна В.В., адреса: вул. Щорса, 33, с.Новий биків, Бобровицький район, Чернігівська область, АГ 503108",1+1
2800,Золочів,Тернопіль,7208924570181441041,Укртрансбезпека,665/666,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1998 року,25.06.2011-24.06.2016,"ФОП Фуртак О.М., адреса: вул.Львівська,54, с.Плугів, Золочівський район, Львівська область, АЕ 421961 ",1+1
2801,Луцьк,Червоноград,7425300941096193686,Укртрансбезпека,665/666,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,16.06.2011-15.06.2016,"ФОП Кальмук В.О., адреса: вул.Луцька, 22, с.Зміїнець, Луцький район, Волинська область, АГ 591928",1+1
2802,Новгород,Сіверський,5433101560417030910,Укртрансбезпека,665/666,щоденно,один,"М3, ІІІ",Починаючи з 1987 року,23.06.2011-22.06.2016,"ВАТ "" АТП-17443"", адреса: вул.Чкалова, 9, м.Новгород-Сіверський, Чернігівська область, АГ 592681",1+1
2803,Дніпропетровськ,Донецьк,0,Укртрансбезпека,665/666,щоденно,один,"М3, ІІІ",,,,1+1
2804,Любар,Вінниця,1668545827408770617,Укртрансбезпека,665/666,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2006 року,11.07.2016-10.10.2016,"ФОП Пеньківський В.О., адреса: вул. Польова, буд. 8, с.Громада, Любарський район, Житомирська область, 13132",1+1
2805,Голованівськ,Умань,3351776476948147515,Укртрансбезпека,665/666,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1996 року,16.11.2013-15.11.2018,"МПП ""Руслана-Авто"", адреса: вул. Якуба Колоса, 11, кв. 57, м.Київ, АГ 592892",1+1
2806,Орджонікідзе,Нововоронцовка,4978117345739840607,Укртрансбезпека,665/666,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,26.03.2015-25.03.2016,"ПП ""Автопригород"", адреса: вул.Уральська, 1, м.Орджонікідзе, Дніпропетровська область,АЕ 572014 ",1+1
2807,Звенигородка,Київ,4189887524596577246,Укртрансбезпека,667/668,щоденно,один,"М3, ІІІ",Починаючи з 2010 року,01.07.2014-30.06.2019,"ТДВ ""Звенигородське АТП 17108"", адреса: вул. Шевченка,4, м.Звенигородка, Черкаська область, АГ 589152",1+1
2808,Золочів,Тернопіль,7208924570181441041,Укртрансбезпека,667/668,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 1998 року,25.06.2011-24.06.2016,"ФОП Фуртак О.М., адреса: вул.Львівська,54, с.Плугів, Золочівський район, Львівська область, АЕ 421961 ",1+1
2809,Луцьк,Червоноград,7425300941096193686,Укртрансбезпека,667/668,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,16.06.2011-15.06.2016,"ФОП Кальмук В.О., адреса: вул.Луцька, 22, с.Зміїнець, Луцький район, Волинська область, АГ 591928",1+1
2810,Шостка,Бирине,0,Укртрансбезпека,667/668,Прямий та зворотній рейси виконуються Сер.Пт.Суб.Нед.,один,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
2811,Рівне,Київ,758965114511857277,Укртрансбезпека,667/668,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,18.05.2011-17.05.2016,"МПП ""Деймос"", адреса: вул. Старицького, буд. 21 А, м.Рівне, АЕ 573022",1+1
2812,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,667/668,щоденно,один,"М2, М3, В, ІІІ",Починакючи з 1996 року,21.11.2012-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2813,Орджонікідзе,Нововоронцовка,4978117345739840607,Укртрансбезпека,667/668,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,26.03.2015-25.03.2016,"ПП ""Автопригород"", адреса: вул.Уральська, 1, м.Орджонікідзе, Дніпропетровська область,АЕ 572014 ",1+1
2814,Київ,Житомир,5316642106045181074,Укртрансбезпека,669/670,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1998 року,18.03.2014-17.03.2019,"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",1+1
2815,Світловодськ,Кременчук,5368413504699501884,Укртрансбезпека,669/670,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1999 року,18.02.2014-17.02.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2816,Київ,Херсон,3789339857732281963,Укртрансбезпека,669/670,щоденно,один,"М3, ІІІ",Починаючи з 2003 року,29.09.2013-28.09.2018,"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, 03048, АГ 593998",1+1
2817,Луцьк,Млинів,6406432469039168481,Укртрансбезпека,669/670,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2007 року,22.11.2012-21.11.2017,"ПрАТ ""Луцьке АТП 10701"", адреса: вул. Зв'язківців, 1, м.Луцьк, АВ 610997",1+1
2818,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,669/670,щоденно,один,"М2, М3, В, ІІІ",Починакючи з 1996 року,21.11.2012-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2819,Орджонікідзе,Нововоронцовка,4978117345739840607,Укртрансбезпека,669/670,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,26.03.2015-25.03.2016,"ПП ""Автопригород"", адреса: вул.Уральська, 1, м.Орджонікідзе, Дніпропетровська область,АЕ 572014 ",1+1
2820,Кіровоград,Київ,1284177797322816599,Укртрансбезпека,671/672,щоденно,один,"М3, ІІІ",Починаючи з 1998 року,05.06.2013-04.06.2018,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
2821,Київ,Житомир,5316642106045181074,Укртрансбезпека,671/672,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1998 року,18.03.2014-17.03.2019,"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",1+1
2822,Підгайці,Львів,2038952911536324124,Укртрансбезпека,671/672,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2005 року,15.09.2011-14.09.2016,"ФОП Колодницький Д.М., адреса: вул. Староміська, буд. 84, с.Старе Місто, Підгаєцький район, Тернопільська область, АВ 509390",1+1
2823,Шостка,Бирине,0,Укртрансбезпека,671/672,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М2, М3, В, І, ІІ, ІІІ",,,,1+1
2824,Кам'янець,Подільський,0,Укртрансбезпека,671/672,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
2825,Кременчук,Київ,9221941193207869250,Укртрансбезпека,671/672,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,05.08.2014-04.08.2019,"ТОВ ""БДК-Авто"", адреса: вул.Пушкіна, буд. 131 А, м.Лутугине, Луганська область, АЕ 264753",1+1
2826,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,671/672,щоденно,один,"М2, М3, В, ІІІ",Починакючи з 1996 року,21.11.2012-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2827,Миколаїв,Херсон,1490155852337163351,Укртрансбезпека,671/672,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2010 року,28.07.2015-27.07.2020,"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",1+1
2828,Київ,Кіровоград,1284177797322816599,Укртрансбезпека,673/674,щоденно,один,"М3, ІІІ",Починаючи з 1998 року,31.05.2012-30.05.2017,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
2829,Шостка,Новоград,6508587852003741091,Укртрансбезпека,673/674,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2005 року,31.12.2015-30.12.2016,"ФОП Луценко Г.М., адреса: вул. Некрасова, 20-А, кв.124, м.Шостка, Сумська область, АД 038713",1+1
2830,Кам'янець,Подільський,6175742876104694920,Укртрансбезпека,673/674,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2007 року,06.06.20105-06.05.2020,"ФОП Ганзюк В.І., адреса: село Рихта, с.Рихта, Кам'янець-подільський район, Хмельницька область, АГ 590916",1+1
2831,Кременчук,Київ,9221941193207869250,Укртрансбезпека,673/674,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,05.08.2014-04.08.2019,"ТОВ ""БДК-Авто"", адреса: вул.Пушкіна, буд. 131 А, м.Лутугине, Луганська область, АЕ 264753",1+1
2832,Чернігів,Київ,0,Укртрансбезпека,673/674,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
2833,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,673/674,щоденно,один,"М2, М3, В, ІІІ",Починакючи з 1996 року,21.11.2012-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
2834,Довга Пристань,Одеса,3834752645214980574,Укртрансбезпека,673/674,щоденно,один,"М3, ІІІ",Починаючиз 2013 року,31.12.2014-30.12.2019,"ПАТ ""Чорноморська транспортна компанія"", адреса:вул.Новощепний ряд, 5, м.Одеса, 65007, АГ588936",1+1
2835,Миколаїв,Херсон,1490155852337163351,Укртрансбезпека,673/674,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2010 року,28.07.2015-27.07.2020,"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",1+1
2836,Київ,Житомир,5316642106045181074,Укртрансбезпека,675/676,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1998 року,18.03.2014-17.03.2019,"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",1+1
2837,Чернігів,Київ,0,Укртрансбезпека,675/676,щоденно,один,"М2, М3, В, ІІІ",,,,1+1
2838,Миколаїв,Київ ч/з Доманівку,885258301355726204,Укртрансбезпека,675/676,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,25.07.2013-04.07.2018,"ФОП  Савченко Г.І., адреса: вул. Ліскова, 2, м.Миколаїв, АГ 504682",2+1
2839,Кременчук,Київ,5368413504699501884,Укртрансбезпека,675/676,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,05.08.2014-04.08.2019,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1
2840,Луцьк,Львів,4098693504290662925,Укртрансбезпека,675/676,щоденно,один,"М3, ІІІ",Починаючи з 1983 року,09.05.2015-08.05.2020,"ФОП Михалюк Ю.П., адреса: вул. Молодіжна, 54, с.Маяки, Луцький район, Волинська область, АД 076930",2+1
2841,Дніпропетровськ,Запоріжжя,5602841073603786280,Укртрансбезпека,675/676,щоденно,один,"М2, М3, В, ІІІ",Починакючи з 1996 року,21.11.2012-20.11.2017,"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",1+1
